Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Condition,Price
AUDI,Other,2016,990.0,1,Petrol,99000.0,1.0,100.0
AUDI,Other,2017,1000.0,1,Petrol,88000.0,1.0,97.0
AUDI,Other,2018,1000.0,1,Petrol,77000.0,1.0,98.5
AUDI,Other,2017,1000.0,1,Petrol,88000.0,1.0,107.0
AUDI,Other,2017,1000.0,1,Petrol,88000.0,1.0,99.5
AUDI,Other,2018,1500.0,1,Petrol,77000.0,1.0,91.375
AUDI,Other,2017,1000.0,1,Petrol,88000.0,1.0,104.0
AUDI,Other,2016,1000.0,1,Petrol,99000.0,1.0,105.0
AUDI,Other,2018,1000.0,1,Petrol,77000.0,1.0,139.0
AUDI,Other,2018,1750.0,1,Petrol,77000.0,1.0,139.0
AUDI,Other,2018,1000.0,1,Petrol,77000.0,1.0,139.0
AUDI,Other,2018,1000.0,1,Petrol,77000.0,1.0,139.0
AUDI,Other,2018,1000.0,1,Petrol,77000.0,1.0,178.0
AUDI,Other,2018,1000.0,1,Petrol,77000.0,1.0,178.0
AUDI,Other,2018,999.0,1,Petrol,77000.0,1.0,145.0
AUDI,Other,2017,1000.0,1,Petrol,88000.0,1.0,125.0
AUDI,Other,2017,1000.0,1,Petrol,88000.0,1.0,142.5
AUDI,Other,2017,1000.0,1,Petrol,88000.0,1.0,165.0
AUDI,Other,2018,1000.0,1,Petrol,77000.0,1.0,149.5
AUDI,Other,2015,1899.0,1,Petrol,110000.0,1.0,159.0
AUDI,Other,2015,1500.0,1,Petrol,110000.0,1.0,159.0
AUDI,Other,2001,1900.0,0,Diesel,264000.0,1.0,38.8
AUDI,Other,2010,1800.0,1,Petrol,165000.0,1.0,118.0
AUDI,Other,2019,1400.0,1,Petrol,66000.0,1.0,225.0
AUDI,Other,2012,2000.0,1,Diesel,143000.0,1.0,169.0
AUDI,Other,1999,1900.0,0,Diesel,286000.0,1.0,31.5
AUDI,Other,2003,1800.0,1,Petrol,242000.0,1.0,53.6
AUDI,Other,2011,2000.0,1,Diesel,154000.0,1.0,108.0
AUDI,Other,2012,1800.0,1,Petrol,143000.0,1.0,139.0
AUDI,Other,2016,2000.0,1,Petrol,99000.0,1.0,210.0
AUDI,Other,2011,2000.0,1,Diesel,154000.0,1.0,116.5
AUDI,Other,2010,1800.0,1,Petrol,165000.0,1.0,100.0
AUDI,Other,2012,1800.0,1,Petrol,143000.0,1.0,145.0
AUDI,Other,2012,1800.0,1,Petrol,143000.0,1.0,155.0
AUDI,Other,2001,1900.0,0,Diesel,264000.0,1.0,5.0
AUDI,Other,2011,1800.0,1,Petrol,154000.0,1.0,112.0
AUDI,Other,2012,1800.0,1,Petrol,143000.0,1.0,140.0
AUDI,Other,2016,1600.0,1,Petrol,99000.0,1.0,215.0
AUDI,Other,2010,1800.0,1,Petrol,165000.0,1.0,102.0
AUDI,Other,2018,1400.0,1,Petrol,77000.0,1.0,316.5
AUDI,Other,2014,2000.0,1,Petrol,121000.0,1.0,220.0
AUDI,Other,2011,2000.0,1,Petrol,154000.0,1.0,114.9
AUDI,Other,2013,2000.0,1,Petrol,132000.0,1.0,180.0
AUDI,Other,2012,2000.0,1,Petrol,143000.0,1.0,149.0
AUDI,Other,2013,2000.0,1,Diesel,132000.0,1.0,180.0
AUDI,Other,2001,1900.0,0,Diesel,264000.0,1.0,48.0
AUDI,Other,2013,2000.0,1,Petrol,132000.0,1.0,180.0
AUDI,Other,2003,2000.0,0,Diesel,242000.0,1.0,48.5
AUDI,Other,2010,2000.0,1,Petrol,165000.0,1.0,117.5
AUDI,Other,2016,1800.0,1,Petrol,99000.0,1.0,248.0
AUDI,Other,2004,1800.0,1,Petrol,231000.0,1.0,16.95
AUDI,Other,2017,1800.0,1,Petrol,88000.0,1.0,256.5
AUDI,Other,2013,3000.0,1,Diesel,132000.0,1.0,25.0
AUDI,Other,2013,3000.0,1,Hybrid,132000.0,1.0,25.0
AUSTIN,Other,1960,1500.0,0,Petrol,715000.0,1.0,12.75
AUSTIN,Other,1998,1300.0,1,Petrol,297000.0,1.0,33.5
AUSTIN,Other,1960,1300.0,1,Petrol,715000.0,1.0,25.0
AUSTIN,MINI COOPER,1980,1300.0,0,Petrol,495000.0,1.0,21.5
